source_benchmark,machine_id,kernel,elements,bytes,stride,threads,repetition,runtime_sec,bandwidth_gbps,checksum,compiler,compiler_flags
custom,mac_m4_local,triad,65536,1572864,1,1,1,0.000244000,6.446164,731837.10100000037,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,65536,1572864,1,1,2,0.000239000,6.581021,731837.10100000037,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,65536,1572864,1,1,3,0.000224000,7.021714,731837.10100000037,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,1048576,25165824,1,1,1,0.004998000,5.035179,11709444.901999956,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,1048576,25165824,1,1,2,0.002045000,12.306026,11709444.901999956,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,1048576,25165824,1,1,3,0.003863000,6.514580,11709444.901999956,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,8388608,201326592,1,1,1,0.052161000,3.859715,93675582.911002114,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,8388608,201326592,1,1,2,0.022291000,9.031743,93675582.911002114,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,triad,8388608,201326592,1,1,3,0.019839000,10.148021,93675582.911002114,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,reduction,65536,524288,1,1,1,0.000146000,3.591014,68680.629999996774,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,reduction,65536,524288,1,1,2,0.000146000,3.591014,68680.629999996774,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,reduction,65536,524288,1,1,3,0.000148000,3.542486,68680.629999996774,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,reduction,1048576,8388608,1,1,1,0.002226000,3.768467,1098907.3750002461,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,reduction,1048576,8388608,1,1,2,0.001124000,7.463174,1098907.3750002461,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,reduction,1048576,8388608,1,1,3,0.000961000,8.729041,1098907.3750002461,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,reduction,8388608,67108864,1,1,1,0.015072000,4.452552,8791260.0079908427,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,reduction,8388608,67108864,1,1,2,0.012036000,5.575678,8791260.0079908427,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,reduction,8388608,67108864,1,1,3,0.012798000,5.243699,8791260.0079908427,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,strided,65536,32768,16,1,1,0.000015000,2.184534,4292.6289999999999,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,strided,65536,32768,16,1,2,0.000009000,3.640891,4292.6289999999999,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,strided,65536,32768,16,1,3,0.000008000,4.095999,4292.6289999999999,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,strided,1048576,524288,16,1,1,0.001025000,0.511500,68681.889999996783,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,strided,1048576,524288,16,1,2,0.000443000,1.183494,68681.889999996783,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,strided,1048576,524288,16,1,3,0.000432000,1.213630,68681.889999996783,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,strided,8388608,4194304,16,1,1,0.005820000,0.720671,549453.72799989639,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,strided,8388608,4194304,16,1,2,0.002441000,1.718273,549453.72799989639,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
custom,mac_m4_local,strided,8388608,4194304,16,1,3,0.002985000,1.405127,549453.72799989639,clang 21.0.0 (clang-2100.1.1.101),recorded_in_build_log_or_metadata
